symbol,epoch,slug,orders_placed,orders_filled,orders_open,allocation_usdc,total_proceeds_usdc,yes_filled,no_filled,yes_unfilled,no_unfilled,pnl_if_yes_wins_usdc,pnl_if_no_wins_usdc,epoch_end_utc
eth,5m,eth-updown-5m-1775103000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T04:15:00Z
eth,5m,eth-updown-5m-1775102700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T04:10:00Z
eth,5m,eth-updown-5m-1775102400,3,3,0,100.0,104.7,100.0,100.0,0.0,0.0,4.7,4.7,2026-04-02T04:05:00Z
eth,5m,eth-updown-5m-1775102100,10,10,0,100.0,103.1,100.0,100.0,0.0,0.0,3.1,3.1,2026-04-02T04:00:00Z
eth,5m,eth-updown-5m-1775101800,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-02T03:55:00Z
eth,5m,eth-updown-5m-1775101500,6,6,0,100.0,104.0,100.0,100.0,0.0,0.0,4.0,4.0,2026-04-02T03:50:00Z
eth,5m,eth-updown-5m-1775101200,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T03:45:00Z
eth,5m,eth-updown-5m-1775100900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T03:40:00Z
eth,5m,eth-updown-5m-1775100600,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-02T03:35:00Z
eth,5m,eth-updown-5m-1775100300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T03:30:00Z
eth,5m,eth-updown-5m-1775100000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T03:25:00Z
eth,5m,eth-updown-5m-1775099700,6,6,0,100.0,102.4,100.0,100.0,0.0,0.0,2.4,2.4,2026-04-02T03:20:00Z
eth,5m,eth-updown-5m-1775099400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T03:15:00Z
eth,5m,eth-updown-5m-1775099100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T03:10:00Z
eth,5m,eth-updown-5m-1775098800,11,11,0,100.0,103.1,100.0,100.0,0.0,0.0,3.1,3.1,2026-04-02T03:05:00Z
eth,5m,eth-updown-5m-1775098500,11,11,0,100.0,101.5,100.0,100.0,0.0,0.0,1.5,1.5,2026-04-02T03:00:00Z
eth,5m,eth-updown-5m-1775098200,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:55:00Z
